MR;Type;STC;FUTCs;LocalDistance
MR254;CONJUNCTIVE_CONTRACT;Test-09;1;10
MR503;CONJUNCTIVE_EXTEND;Test-17;2;7
MR68;CONJUNCTIVE_CONTRACT;Test-03;4;9
MR550;CONJUNCTIVE_CONTRACT;Test-19;3;12
MR174;CONJUNCTIVE_EXTEND;Test-06;2;5
MR242;CONJUNCTIVE_EXTEND;Test-08;3;5
MR199;CONJUNCTIVE_EXTEND;Test-07;3;6
MR76;CONJUNCTIVE_EXTEND;Test-03;3;6
MR417;DISJOINT_EXTEND;Test-14;6;6
MR53;DISJOINT_EXTEND;Test-02;2;2
MR297;CONJUNCTIVE_EXTEND;Test-10;2;6
MR223;CONJUNCTIVE_CONTRACT;Test-08;2;10
MR21;CONJUNCTIVE_EXTEND;Test-01;2;5
MR137;CONJUNCTIVE_EXTEND;Test-05;2;7
MR48;CONJUNCTIVE_EXTEND;Test-02;3;3
MR556;CONJUNCTIVE_CONTRACT;Test-19;1;12
MR146;EQUIVALENCE_EXTEND;Test-05;2;4
MR154;CONJUNCTIVE_CONTRACT;Test-06;4;10
MR245;EQUIVALENCE_EXTEND;Test-08;1;1
MR452;CONJUNCTIVE_CONTRACT;Test-16;3;9
MR23;CONJUNCTIVE_EXTEND;Test-01;2;5
MR358;CONJUNCTIVE_CONTRACT;Test-13;5;10
MR27;DISJOINT_EXTEND;Test-01;6;6
MR399;CONJUNCTIVE_CONTRACT;Test-14;2;10
MR77;CONJUNCTIVE_EXTEND;Test-03;3;6
MR515;CONJUNCTIVE_CONTRACT;Test-18;4;10
MR75;CONJUNCTIVE_EXTEND;Test-03;2;6
MR200;CONJUNCTIVE_EXTEND;Test-07;3;6
MR557;CONJUNCTIVE_CONTRACT;Test-19;3;12
MR51;CONJUNCTIVE_EXTEND;Test-02;2;3
MR206;CONJUNCTIVE_EXTEND;Test-07;2;6
MR296;CONJUNCTIVE_EXTEND;Test-10;2;6
MR455;CONJUNCTIVE_CONTRACT;Test-16;3;9
MR299;CONJUNCTIVE_EXTEND;Test-10;3;6
