MR;Type;STC;FUTCs;LocalDistance
MR27;CONJUNCTIVE_CONTRACT;Test-02;1;8
MR195;CONJUNCTIVE_EXTEND;Test-10;1;3
MR379;CONJUNCTIVE_CONTRACT;Test-21;3;4
MR754;CONJUNCTIVE_EXTEND;Test-44;1;1
MR91;EQUIVALENCE_EXTEND;Test-05;1;1
MR791;SHUFFLING_EXTEND;Test-47;2;2
MR173;CONJUNCTIVE_EXTEND;Test-09;1;1
MR965;CONJUNCTIVE_CONTRACT;Test-58;2;2
MR1021;CONJUNCTIVE_EXTEND;Test-61;1;2
MR230;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR750;CONJUNCTIVE_CONTRACT;Test-44;2;12
MR127;CONJUNCTIVE_CONTRACT;Test-07;2;6
MR193;CONJUNCTIVE_EXTEND;Test-10;1;3
MR678;DISJOINT_EXTEND;Test-39;2;2
MR240;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR26;CONJUNCTIVE_CONTRACT;Test-02;1;9
MR832;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR264;EQUIVALENCE_EXTEND;Test-13;1;1
MR683;CONJUNCTIVE_CONTRACT;Test-40;2;6
MR90;EQUIVALENCE_EXTEND;Test-05;1;3
MR356;CONJUNCTIVE_CONTRACT;Test-20;2;4
MR176;CONJUNCTIVE_EXTEND;Test-09;1;1
MR220;DISJOINT_EXTEND;Test-11;2;2
MR222;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR300;CONJUNCTIVE_CONTRACT;Test-16;2;12
MR866;CONJUNCTIVE_CONTRACT;Test-52;2;5
MR1019;CONJUNCTIVE_EXTEND;Test-61;1;2
MR609;DISJOINT_EXTEND;Test-34;2;2
MR891;CONJUNCTIVE_EXTEND;Test-53;1;4
MR23;CONJUNCTIVE_CONTRACT;Test-02;1;10
MR968;CONJUNCTIVE_CONTRACT;Test-58;2;3
MR175;CONJUNCTIVE_EXTEND;Test-09;1;1
MR468;CONJUNCTIVE_EXTEND;Test-26;1;5
MR715;CONJUNCTIVE_EXTEND;Test-42;1;2
MR241;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR261;DISJOINT_EXTEND;Test-13;1;1
MR70;EQUIVALENCE_EXTEND;Test-04;1;1
MR813;CONJUNCTIVE_CONTRACT;Test-49;2;8
MR841;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR22;CONJUNCTIVE_CONTRACT;Test-02;1;8
MR417;DISJOINT_EXTEND;Test-23;1;1
MR1046;CONJUNCTIVE_EXTEND;Test-62;1;3
MR396;CONJUNCTIVE_CONTRACT;Test-22;3;3
MR359;CONJUNCTIVE_CONTRACT;Test-20;2;5
MR1072;CONJUNCTIVE_CONTRACT;Test-64;2;6
MR288;CONJUNCTIVE_EXTEND;Test-15;1;1
MR245;DISJOINT_EXTEND;Test-12;2;2
MR310;DISJOINT_EXTEND;Test-16;1;1
MR196;CONJUNCTIVE_EXTEND;Test-10;1;3
MR1035;CONJUNCTIVE_CONTRACT;Test-62;3;14
MR147;CONJUNCTIVE_EXTEND;Test-08;1;3
MR414;SHUFFLING_CONTRACT;Test-23;1;1
MR353;EQUIVALENCE_EXTEND;Test-19;1;1
MR450;CONJUNCTIVE_CONTRACT;Test-25;2;5
MR469;CONJUNCTIVE_EXTEND;Test-26;1;5
MR392;CONJUNCTIVE_CONTRACT;Test-22;3;3
MR309;DISJOINT_EXTEND;Test-16;1;1
MR844;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR185;EQUIVALENCE_EXTEND;Test-09;1;1
MR480;CONJUNCTIVE_CONTRACT;Test-27;3;3
MR1020;CONJUNCTIVE_EXTEND;Test-61;1;2
MR124;CONJUNCTIVE_CONTRACT;Test-07;2;8
MR335;DISJOINT_EXTEND;Test-18;2;2
MR257;DISJOINT_EXTEND;Test-13;1;1
MR102;CONJUNCTIVE_CONTRACT;Test-06;2;13
MR92;EQUIVALENCE_EXTEND;Test-05;1;2
MR357;CONJUNCTIVE_CONTRACT;Test-20;2;5
MR416;DISJOINT_EXTEND;Test-23;1;1
MR650;EQUIVALENCE_EXTEND;Test-37;1;1
MR835;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR311;DISJOINT_EXTEND;Test-16;1;1
MR215;CONJUNCTIVE_CONTRACT;Test-11;2;3
MR716;CONJUNCTIVE_EXTEND;Test-42;1;2
MR1010;DISJOINT_EXTEND;Test-60;2;2
MR505;CONJUNCTIVE_EXTEND;Test-28;1;2
MR558;CONJUNCTIVE_EXTEND;Test-31;1;3
MR789;CONJUNCTIVE_CONTRACT;Test-47;3;4
MR191;CONJUNCTIVE_EXTEND;Test-10;1;2
MR259;DISJOINT_EXTEND;Test-13;1;1
MR839;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR419;DISJOINT_EXTEND;Test-23;1;1
MR313;DISJOINT_EXTEND;Test-16;1;1
MR575;CONJUNCTIVE_EXTEND;Test-32;1;5
MR831;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR735;CONJUNCTIVE_EXTEND;Test-43;1;4
MR117;EQUIVALENCE_EXTEND;Test-06;1;2
MR318;CONJUNCTIVE_CONTRACT;Test-17;2;2
MR418;DISJOINT_EXTEND;Test-23;1;1
MR644;CONJUNCTIVE_EXTEND;Test-37;1;1
MR341;CONJUNCTIVE_EXTEND;Test-19;1;1
MR81;CONJUNCTIVE_CONTRACT;Test-05;2;15
MR186;EQUIVALENCE_EXTEND;Test-09;1;1
MR152;CONJUNCTIVE_EXTEND;Test-08;1;3
MR248;CONJUNCTIVE_CONTRACT;Test-13;1;2
MR271;CONJUNCTIVE_CONTRACT;Test-14;2;3
MR437;CONJUNCTIVE_EXTEND;Test-24;1;2
MR194;CONJUNCTIVE_EXTEND;Test-10;1;2
MR915;CONJUNCTIVE_CONTRACT;Test-55;2;5
MR761;DISJOINT_EXTEND;Test-44;1;1
MR684;CONJUNCTIVE_CONTRACT;Test-40;2;6
MR69;EQUIVALENCE_EXTEND;Test-04;1;1
MR282;CONJUNCTIVE_CONTRACT;Test-15;2;13
MR850;CONJUNCTIVE_CONTRACT;Test-51;2;2
MR342;CONJUNCTIVE_EXTEND;Test-19;1;1
MR306;CONJUNCTIVE_CONTRACT;Test-16;1;1
MR999;CONJUNCTIVE_CONTRACT;Test-60;2;3
MR935;CONJUNCTIVE_EXTEND;Test-56;1;3
MR640;CONJUNCTIVE_EXTEND;Test-37;1;1
MR861;DISJOINT_EXTEND;Test-51;2;2
MR421;DISJOINT_EXTEND;Test-23;1;1
MR493;CONJUNCTIVE_CONTRACT;Test-28;2;12
MR64;DISJOINT_EXTEND;Test-04;1;1
MR821;CONJUNCTIVE_EXTEND;Test-49;1;3
MR723;EQUIVALENCE_EXTEND;Test-42;1;1
MR964;CONJUNCTIVE_CONTRACT;Test-58;2;6
MR758;DISJOINT_EXTEND;Test-44;1;1
MR118;EQUIVALENCE_EXTEND;Test-06;1;2
MR554;CONJUNCTIVE_EXTEND;Test-31;1;3
MR436;CONJUNCTIVE_EXTEND;Test-24;1;2
MR85;CONJUNCTIVE_CONTRACT;Test-05;2;15
MR99;CONJUNCTIVE_CONTRACT;Test-06;2;13
MR180;DISJOINT_EXTEND;Test-09;1;1
MR946;CONJUNCTIVE_CONTRACT;Test-57;2;3
MR47;SHUFFLING_CONTRACT;Test-03;1;1
MR61;SHUFFLING_CONTRACT;Test-04;1;1
MR589;CONJUNCTIVE_EXTEND;Test-33;1;2
MR808;DISJOINT_EXTEND;Test-48;2;2
MR760;DISJOINT_EXTEND;Test-44;1;1
MR672;CONJUNCTIVE_CONTRACT;Test-39;2;6
MR50;DISJOINT_EXTEND;Test-03;1;1
MR63;DISJOINT_EXTEND;Test-04;1;1
MR328;CONJUNCTIVE_CONTRACT;Test-18;2;3
MR28;CONJUNCTIVE_CONTRACT;Test-02;1;12
MR97;CONJUNCTIVE_CONTRACT;Test-06;2;13
MR836;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR181;DISJOINT_EXTEND;Test-09;1;1
MR304;CONJUNCTIVE_CONTRACT;Test-16;1;2
MR214;CONJUNCTIVE_CONTRACT;Test-11;2;4
MR409;CONJUNCTIVE_CONTRACT;Test-23;1;1
MR51;DISJOINT_EXTEND;Test-03;1;1
MR843;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR351;EQUIVALENCE_EXTEND;Test-19;1;1
MR685;CONJUNCTIVE_CONTRACT;Test-40;2;7
MR178;SHUFFLING_CONTRACT;Test-09;1;1
MR295;EQUIVALENCE_EXTEND;Test-15;1;2
MR666;CONJUNCTIVE_CONTRACT;Test-39;2;6
MR251;CONJUNCTIVE_CONTRACT;Test-13;1;1
MR302;CONJUNCTIVE_CONTRACT;Test-16;1;1
MR702;EQUIVALENCE_EXTEND;Test-41;1;1
MR82;CONJUNCTIVE_CONTRACT;Test-05;3;15
MR1022;CONJUNCTIVE_EXTEND;Test-61;1;1
MR749;CONJUNCTIVE_CONTRACT;Test-44;1;1
MR388;DISJOINT_EXTEND;Test-21;2;2
MR179;SHUFFLING_EXTEND;Test-09;1;1
MR840;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR247;CONJUNCTIVE_CONTRACT;Test-13;1;2
MR403;CONJUNCTIVE_CONTRACT;Test-23;1;2
MR116;EQUIVALENCE_EXTEND;Test-06;1;1
MR49;DISJOINT_EXTEND;Test-03;1;1
MR736;CONJUNCTIVE_EXTEND;Test-43;1;3
MR792;CONJUNCTIVE_CONTRACT;Test-48;2;2
MR57;CONJUNCTIVE_CONTRACT;Test-04;1;1
MR73;CONJUNCTIVE_CONTRACT;Test-05;2;12
MR600;EQUIVALENCE_EXTEND;Test-33;1;2
MR344;SHUFFLING_CONTRACT;Test-19;1;1
MR670;CONJUNCTIVE_CONTRACT;Test-39;2;7
MR182;DISJOINT_EXTEND;Test-09;1;1
MR292;DISJOINT_EXTEND;Test-15;1;1
MR451;CONJUNCTIVE_CONTRACT;Test-25;2;8
MR52;DISJOINT_EXTEND;Test-03;1;1
MR459;CONJUNCTIVE_CONTRACT;Test-26;2;10
MR86;SHUFFLING_CONTRACT;Test-05;1;1
MR501;CONJUNCTIVE_EXTEND;Test-28;1;1
MR153;CONJUNCTIVE_EXTEND;Test-08;1;2
MR197;CONJUNCTIVE_EXTEND;Test-10;1;1
MR658;CONJUNCTIVE_CONTRACT;Test-38;3;4
MR618;SHUFFLING_CONTRACT;Test-35;1;1
MR648;DISJOINT_EXTEND;Test-37;1;1
MR709;CONJUNCTIVE_CONTRACT;Test-42;2;13
MR183;DISJOINT_EXTEND;Test-09;1;1
MR987;CONJUNCTIVE_EXTEND;Test-59;1;1
