MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR449;CONJUNCTIVE_EXTEND;Test-17;10;3;4;[location, sortBy, projectsWeLove, savedProjects, following, projectsIHaveBacked, recommendedForMe, amountPledged, raised, category];[filterProjects, searchQuery];[goal];[subcategory];[];[];[]
MR224;CONJUNCTIVE_CONTRACT;Test-09;11;3;9;[searchQuery, location, sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, goal, category, subcategory];[filterProjects, following, location, projectsWeLove, recommendedForMe, searchQuery, subcategory];[goal];[projectsIHaveBacked];[];[];[]
MR324;DISJOINT_EXTEND;Test-12;10;2;2;[location, sortBy, projectsWeLove, savedProjects, following, recommendedForMe, filterProjects, amountPledged:<$1,000 pledged, category, subcategory];[amountPledged:$1,000 to $10,000 pledged];[amountPledged:$10,000 to $100,000 pledged];[];[];[];[]
MR413;CONJUNCTIVE_CONTRACT;Test-16;13;3;11;[searchQuery, location, sortBy, projectsWeLove, savedProjects, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, raised, category, subcategory];[amountPledged, projectsIHaveBacked, projectsWeLove, raised, savedProjects];[filterProjects, goal, location, recommendedForMe, searchQuery];[subcategory];[];[];[]
MR183;DISJOINT_EXTEND;Test-07;10;1;1;[sortBy, projectsWeLove, following:showProjectsIDoNotFollow, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, category, subcategory];[following:showProjectsIFollow];[];[];[];[];[]
MR343;CONJUNCTIVE_EXTEND;Test-13;10;2;4;[searchQuery, location, sortBy, projectsWeLove, savedProjects, following, projectsIHaveBacked, recommendedForMe, raised, category];[filterProjects, goal, subcategory];[amountPledged];[];[];[];[]
MR254;CONJUNCTIVE_CONTRACT;Test-10;9;2;7;[location, sortBy, projectsWeLove, savedProjects, recommendedForMe, amountPledged, raised, category, subcategory];[amountPledged, raised, recommendedForMe, savedProjects, subcategory];[location, projectsWeLove];[];[];[];[]
MR490;COMPLETE_EXTEND;Test-18;8;2;2;[searchQuery, sortBy, projectsWeLove, savedProjects, recommendedForMe, filterProjects, goal, category];[following:showProjectsIFollow];[following:showProjectsIDoNotFollow];[];[];[];[]
MR61;CONJUNCTIVE_CONTRACT;Test-03;9;3;7;[searchQuery, location, sortBy, projectsWeLove, projectsIHaveBacked, recommendedForMe, raised, category, subcategory];[projectsWeLove, raised, recommendedForMe];[location, searchQuery, subcategory];[projectsIHaveBacked];[];[];[]
MR424;CONJUNCTIVE_CONTRACT;Test-16;13;5;11;[searchQuery, location, sortBy, projectsWeLove, savedProjects, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, raised, category, subcategory];[location];[goal, projectsIHaveBacked, raised, recommendedForMe, savedProjects, subcategory];[searchQuery];[filterProjects];[amountPledged, projectsWeLove];[]
MR5;CONJUNCTIVE_CONTRACT;Test-01;10;2;8;[searchQuery, sortBy, projectsWeLove, savedProjects, following, recommendedForMe, filterProjects, amountPledged, category, subcategory];[amountPledged, filterProjects, following, projectsWeLove, recommendedForMe, searchQuery, subcategory];[savedProjects];[];[];[];[]
MR233;SHUFFLING_EXTEND;Test-09;11;5;5;[searchQuery, location, sortBy:Popularity, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, goal, category, subcategory];[sortBy:Magic];[sortBy:Newest];[sortBy:EndDate];[sortBy:MostFunded];[sortBy:MostBacked];[]
MR247;CONJUNCTIVE_CONTRACT;Test-10;9;2;7;[location, sortBy, projectsWeLove, savedProjects, recommendedForMe, amountPledged, raised, category, subcategory];[amountPledged, location, projectsWeLove, raised, savedProjects, subcategory];[recommendedForMe];[];[];[];[]
MR165;CONJUNCTIVE_CONTRACT;Test-07;10;1;8;[sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, category, subcategory];[amountPledged, filterProjects, following, goal, projectsIHaveBacked, projectsWeLove, recommendedForMe, subcategory];[];[];[];[];[]
MR25;DISJOINT_EXTEND;Test-01;10;1;1;[searchQuery, sortBy, projectsWeLove, savedProjects, following:showProjectsIFollow, recommendedForMe, filterProjects, amountPledged, category, subcategory];[following:showProjectsIDoNotFollow];[];[];[];[];[]
