MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR708;CONJUNCTIVE_CONTRACT;Test-14;23;4;16;[title, title_type, user_rating_min, number_votes_max, genres, title_groups, title_data, companies, US_certificates, color_info, languages, filming_locations, plot, cast_crew, runtime_min, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[cast_crew, companies, filming_locations, genres, languages, number_votes_max, plot, runtime_min, sound_mix, title_data];[];[];[user_rating_min];[];[];[US_certificates, runtime_max, title_groups, title_type];[];[];[color_info];[];[];[];[];[];[];[]
MR743;SHUFFLING_EXTEND;Test-14;23;4;4;[title, title_type, user_rating_min, number_votes_max, genres, title_groups, title_data, companies, US_certificates, color_info, languages, filming_locations, plot, cast_crew, runtime_min, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by:Popularity Descending];[];[];[sorted_by:Popularity Ascending];[];[];[sorted_by:A-Z Ascending];[];[];[sorted_by:A-Z Descending];[];[];[sorted_by:User Rating Ascending];[];[];[];[];[];[]
MR979;CONJUNCTIVE_EXTEND;Test-19;16;5;16;[title, release_date_start, user_rating_max, title_data, companies, US_certificates, languages, filming_locations, popularity_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[color_info, instant_watch_options, release_date_end];[];[];[genres, number_votes_max, number_votes_min, plot, runtime_max, runtime_min, user_rating_min];[];[];[cast_crew];[];[];[countries];[];[];[keyword, popularity_min, title_groups, title_type];[];[];[];[];[]
MR809;CONJUNCTIVE_CONTRACT;Test-16;21;3;14;[title, release_date_start, user_rating_min, user_rating_max, genres, title_groups, instant_watch_options, US_certificates, color_info, countries, languages, plot, cast_crew, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[color_info, genres, instant_watch_options, plot, title_groups, user_rating_max, user_rating_min];[];[];[US_certificates, countries, languages, release_date_start, runtime_max, sound_mix];[];[];[cast_crew];[];[];[];[];[];[];[];[];[];[]
MR152;CONJUNCTIVE_EXTEND;Test-03;24;3;7;[release_date_start, user_rating_max, number_votes_min, number_votes_max, genres, title_groups, companies, instant_watch_options, US_certificates, color_info, countries, keyword, languages, popularity_min, popularity_max, cast_crew, runtime_min, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[title_data];[];[];[release_date_end];[];[];[filming_locations, plot, runtime_max, title_type, user_rating_min];[];[];[];[];[];[];[];[];[];[];[]
MR748;CONJUNCTIVE_CONTRACT;Test-15;18;3;12;[title_type, user_rating_min, genres, title_data, companies, instant_watch_options, US_certificates, color_info, countries, languages, plot, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[color_info, companies, countries, genres, instant_watch_options, languages, plot, sound_mix, title_type, user_rating_min];[];[];[title_data];[];[];[US_certificates];[];[];[];[];[];[];[];[];[];[]
MR744;DISJOINT_EXTEND;Test-14;23;1;1;[title, title_type, user_rating_min, number_votes_max, genres, title_groups, title_data, companies, US_certificates, color_info, languages, filming_locations, plot, cast_crew, runtime_min, runtime_max, sound_mix, your_ratings:Exclude Titles I've Seen, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[];[your_ratings:Restrict to Titles I've Seen];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR284;CONJUNCTIVE_CONTRACT;Test-06;21;4;14;[title, user_rating_max, number_votes_min, number_votes_max, genres, title_groups, title_data, companies, instant_watch_options, color_info, popularity_min, popularity_max, plot, cast_crew, runtime_max, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[cast_crew, color_info];[];[];[genres, number_votes_max, number_votes_min, plot, popularity_min, title_data];[];[];[companies, instant_watch_options, popularity_max, runtime_max, user_rating_max];[];[];[title_groups];[];[];[];[];[];[];[]
MR892;CONJUNCTIVE_EXTEND;Test-17;18;4;13;[release_date_start, release_date_end, number_votes_min, genres, title_data, color_info, countries, filming_locations, cast_crew, runtime_min, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[keyword, user_rating_max];[];[];[companies, instant_watch_options, languages, number_votes_max, plot, popularity_max, popularity_min, title_type];[];[];[title_groups];[];[];[US_certificates, user_rating_min];[];[];[];[];[];[];[];[]
MR346;CONJUNCTIVE_EXTEND;Test-07;20;4;12;[title, release_date_start, release_date_end, user_rating_min, number_votes_min, number_votes_max, genres, color_info, countries, keyword, languages, cast_crew, runtime_min, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[companies];[];[];[US_certificates, filming_locations, plot, user_rating_max];[];[];[instant_watch_options, popularity_max, title_data, title_groups, title_type];[];[];[popularity_min, runtime_max];[];[];[];[];[];[];[];[]
MR469;CONJUNCTIVE_EXTEND;Test-09;23;3;9;[title, title_type, release_date_end, user_rating_max, genres, title_groups, title_data, companies, instant_watch_options, US_certificates, countries, keyword, languages, filming_locations, plot, cast_crew, runtime_min, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[number_votes_max, number_votes_min, user_rating_min];[];[];[color_info, popularity_min, release_date_start, runtime_max];[];[];[popularity_max, sound_mix];[];[];[];[];[];[];[];[];[];[];[]
MR877;CONJUNCTIVE_EXTEND;Test-17;18;2;13;[release_date_start, release_date_end, number_votes_min, genres, title_data, color_info, countries, filming_locations, cast_crew, runtime_min, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[popularity_min];[];[];[US_certificates, companies, instant_watch_options, keyword, languages, number_votes_max, plot, popularity_max, title_groups, title_type, user_rating_max, user_rating_min];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR1017;CONJUNCTIVE_CONTRACT;Test-20;22;3;15;[title, title_type, user_rating_min, user_rating_max, genres, title_groups, title_data, companies, instant_watch_options, color_info, countries, popularity_min, popularity_max, plot, cast_crew, runtime_max, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[color_info, companies, countries, genres, instant_watch_options, plot, popularity_max, popularity_min, runtime_max, title_groups, user_rating_max, user_rating_min];[];[];[cast_crew];[];[];[title_data, title_type];[];[];[];[];[];[];[];[];[];[]
MR111;CONJUNCTIVE_CONTRACT;Test-03;24;5;18;[release_date_start, user_rating_max, number_votes_min, number_votes_max, genres, title_groups, companies, instant_watch_options, US_certificates, color_info, countries, keyword, languages, popularity_min, popularity_max, cast_crew, runtime_min, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[US_certificates, countries, popularity_min];[];[];[title_groups];[];[];[color_info, companies, genres, instant_watch_options, keyword, languages, number_votes_min, popularity_max, release_date_start, runtime_min, sound_mix, user_rating_max];[];[];[cast_crew];[];[];[number_votes_max];[];[];[];[]
MR680;CONJUNCTIVE_EXTEND;Test-13;21;2;10;[title_type, release_date_end, number_votes_min, number_votes_max, title_groups, title_data, instant_watch_options, US_certificates, countries, languages, filming_locations, popularity_min, plot, cast_crew, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[color_info, companies, popularity_max, release_date_start, runtime_max, runtime_min, user_rating_max];[];[];[genres, keyword, user_rating_min];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR710;CONJUNCTIVE_CONTRACT;Test-14;23;2;16;[title, title_type, user_rating_min, number_votes_max, genres, title_groups, title_data, companies, US_certificates, color_info, languages, filming_locations, plot, cast_crew, runtime_min, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[color_info, filming_locations, plot, title_groups];[];[];[US_certificates, cast_crew, companies, genres, languages, number_votes_max, runtime_max, runtime_min, sound_mix, title_data, title_type, user_rating_min];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR529;CONJUNCTIVE_EXTEND;Test-10;20;3;11;[release_date_start, user_rating_min, number_votes_min, number_votes_max, title_groups, title_data, companies, instant_watch_options, color_info, countries, languages, popularity_max, runtime_max, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[US_certificates, cast_crew, filming_locations, plot, popularity_min, runtime_min, title_type, user_rating_max];[];[];[release_date_end];[];[];[genres, keyword];[];[];[];[];[];[];[];[];[];[];[]
MR328;CONJUNCTIVE_CONTRACT;Test-07;20;4;13;[title, release_date_start, release_date_end, user_rating_min, number_votes_min, number_votes_max, genres, color_info, countries, keyword, languages, cast_crew, runtime_min, sound_mix, your_ratings, in_theaters, adult_titles, display_options_format, display_options_page_size, sorted_by];[];[release_date_start];[];[];[languages];[];[];[cast_crew, color_info, countries, keyword, number_votes_max, number_votes_min, release_date_end, runtime_min, sound_mix, user_rating_min];[];[];[genres];[];[];[];[];[];[];[]
